timestamp,topic,msg_type,_angular_velocity,_b,_g,_linear_velocity,_r,_theta,_x,_y
1762368215.015525,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.0155609,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.0320306,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.0321856,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.0322335,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.0322738,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.0499172,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.0500898,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.050144,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.0501878,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.0660706,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.0662088,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.0662587,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.0663004,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.0823143,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.0824506,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.0824993,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.082599,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.098599,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.0989032,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.0990818,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.0991645,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.1121423,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.1123297,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.112396,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.112451,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.1279693,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.1282198,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.1282887,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.1283417,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.1476333,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.1478534,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.1479242,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.1479828,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.1627057,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.1629393,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.163011,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.1630676,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.1769807,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.177186,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.1772525,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.1773093,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.1928306,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.1930683,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.1931336,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.1931896,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.2103837,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.210656,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.2107313,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.2107918,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.2249749,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.2251775,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.225247,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.2253063,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.2399287,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.240413,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.2405043,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.2405825,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.2572162,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.2574365,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.2575011,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.2575903,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.2721395,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.2723334,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.2724035,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.272523,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.2877576,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.2879481,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.2880335,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.2880921,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.3040333,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.3041363,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.304198,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.3042552,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.3202872,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.3209426,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.3210883,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.3211653,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.336333,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.3365386,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.3366144,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.3367493,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.3519993,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.3521616,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.352224,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.3522768,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.3673468,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.3675096,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.3675668,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.3676145,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.3837461,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.383923,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.3839874,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.3840575,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.4023857,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.4025638,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.4026291,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.4026847,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.4167817,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.4169662,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.4170282,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.4170778,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.431706,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.431928,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.4319966,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.432056,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.4482038,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.4484239,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.4484985,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.4485447,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.4639401,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.4648023,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.4649038,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.4649549,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.4794972,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.4797096,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.4798098,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.4798684,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.4957721,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.4959254,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.495975,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.496017,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.5116508,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.511797,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.5118458,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.5118897,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.528863,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.5291078,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.529196,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.5292454,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.5446436,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.5448124,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.5448651,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.5449076,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.5598795,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.5600224,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.5600734,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.5601256,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.575272,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.5754054,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.575452,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.5754929,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.5917237,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.5918763,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.5920243,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.592079,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.6082778,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.6084282,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.6084774,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.6085227,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.6264296,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.626642,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.6267247,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.6267786,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.6419594,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.6421328,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.6422021,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.6422474,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
1762368215.6580434,/turtle1/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.658122,/turtle1/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.800000011920929,5.544444561004639,5.544444561004639
1762368215.6581683,/turtle2/color_sensor,turtlesim/msg/Color,,255,255,,255,,,
1762368215.658225,/turtle2/pose,turtlesim/msg/Pose,0.0,,,0.0,,0.0,0.0,0.0
